2025-07-11 22:53:34 | INFO | src.auth.login_manager | 开始登录流程 - 手机号: 17701058047
2025-07-11 22:53:34 | INFO | src.auth.login_manager | 开始手机验证码登录流程（测试模式）
2025-07-11 22:53:55 | ERROR | src.auth.session_manager | 保存会话失败 - 用户: 17701058047, 错误: 'AuthConfig' object has no attribute 'session_timeout'
2025-07-11 22:53:55 | ERROR | src.auth.login_manager | 保存会话失败: 'AuthConfig' object has no attribute 'session_timeout'
2025-07-11 22:53:55 | INFO | src.auth.session_manager | 未找到会话 - 用户: 17701058047
2025-07-11 22:53:59 | INFO | src.auth.login_manager | 开始登录流程 - 手机号: 17701058047
2025-07-11 22:53:59 | INFO | src.auth.login_manager | 开始手机验证码登录流程（测试模式）
2025-07-11 22:54:06 | ERROR | src.auth.session_manager | 保存会话失败 - 用户: 17701058047, 错误: 'AuthConfig' object has no attribute 'session_timeout'
2025-07-11 22:54:06 | ERROR | src.auth.login_manager | 保存会话失败: 'AuthConfig' object has no attribute 'session_timeout'
2025-07-11 22:59:27 | INFO | src.auth.login_manager | 开始登录流程 - 手机号: 17701058047
2025-07-11 22:59:27 | INFO | src.auth.login_manager | 开始手机验证码登录流程
2025-07-11 22:59:28 | ERROR | src.auth.login_manager | value must not be in list [unspecified]
2025-07-11 22:59:54 | INFO | src.auth.login_manager | 开始登录流程 - 手机号: 17701058047
2025-07-11 22:59:54 | INFO | src.auth.login_manager | 开始手机验证码登录流程
2025-07-11 22:59:57 | ERROR | src.auth.login_manager | value must not be in list [unspecified]
2025-07-11 23:00:30 | INFO | src.auth.login_manager | 开始登录流程 - 手机号: 17701058047
2025-07-11 23:00:30 | INFO | src.auth.login_manager | 开始手机验证码登录流程
2025-07-11 23:00:31 | ERROR | src.auth.login_manager | value must not be in list [unspecified]
2025-07-11 23:00:55 | INFO | src.auth.login_manager | 开始登录流程 - 手机号: 17701058047
2025-07-11 23:00:55 | INFO | src.auth.login_manager | 开始手机验证码登录流程
2025-07-11 23:00:58 | ERROR | src.auth.login_manager | Response status: 400
2025-07-11 23:00:58 | ERROR | src.auth.login_manager | Response headers: {'content-type': 'application/json', 'access-control-allow-origin': 'https://www.vidu.cn', 'access-control-allow-credentials': 'true', 'access-control-expose-headers': 'x-md-trace-id', 'Server': 'TencentEdgeOne', 'Content-Length': '123', 'Connection': 'keep-alive', 'Date': 'Fri, 11 Jul 2025 15:00:58 GMT', 'EO-LOG-UUID': '9324645688572949044', 'EO-Cache-Status': 'MISS'}
2025-07-11 23:00:58 | ERROR | src.auth.login_manager | Response text: {"code":400, "reason":"FieldInvalid", "message":"value must not be in list [unspecified]", "metadata":{"fields":"purpose"}}
2025-07-11 23:00:58 | ERROR | src.auth.login_manager | Error data: {'code': 400, 'reason': 'FieldInvalid', 'message': 'value must not be in list [unspecified]', 'metadata': {'fields': 'purpose'}}
2025-07-11 23:01:15 | INFO | src.auth.login_manager | 开始登录流程 - 手机号: 17701058047
2025-07-11 23:01:15 | INFO | src.auth.login_manager | 开始手机验证码登录流程
2025-07-11 23:01:17 | ERROR | src.auth.login_manager | Response status: 400
