2025-07-14 11:05:21 | INFO | __main__ | 初始化autoGenVideo系统...
2025-07-14 11:05:21 | INFO | __main__ | 系统初始化成功
2025-07-14 11:05:21 | INFO | __main__ | 尝试自动加载token...
2025-07-14 11:05:21 | INFO | src.auth.login_manager | 尝试使用本地token文件自动登录
2025-07-14 11:05:21 | INFO | src.auth.token_manager | Token加载成功 - 手机号: 17701058047
2025-07-14 11:05:21 | DEBUG | src.api.request_handler | 已设置认证cookie
2025-07-14 11:05:21 | DEBUG | src.api.request_handler | 发起请求: GET https://service.vidu.cn/iam/v1/users/me
2025-07-14 11:05:24 | DEBUG | src.api.request_handler | 响应状态: 200
2025-07-14 11:05:24 | DEBUG | src.api.request_handler | 已设置认证cookie
2025-07-14 11:05:24 | INFO | __main__ | Token自动登录成功，JWT认证信息已同步
2025-07-14 11:05:24 | INFO | __main__ | 自动登录用户: vidu_csGjxxVKbL3T7Jrk
2025-07-14 11:05:33 | INFO | __main__ | 开始登录 - 手机号: 17701058047
2025-07-14 11:05:33 | INFO | src.auth.login_manager | 开始登录流程 - 手机号: 17701058047
2025-07-14 11:05:33 | INFO | src.auth.login_manager | 开始手机验证码登录流程
2025-07-14 11:05:33 | DEBUG | src.api.request_handler | 发起请求: POST https://service.vidu.cn/iam/v1/users/send-auth-code
2025-07-14 11:05:34 | DEBUG | src.api.request_handler | 响应状态: 200
2025-07-14 11:05:35 | ERROR | __main__ | 登录失败: 用户取消输入验证码
2025-07-14 11:05:51 | INFO | main | 初始化autoGenVideo系统...
2025-07-14 11:05:51 | INFO | main | 系统初始化成功
2025-07-14 11:05:51 | INFO | main | 尝试自动加载token...
2025-07-14 11:05:51 | INFO | src.auth.login_manager | 尝试使用本地token文件自动登录
2025-07-14 11:05:51 | INFO | src.auth.token_manager | Token加载成功 - 手机号: 17701058047
2025-07-14 11:05:51 | DEBUG | src.api.request_handler | 已设置认证cookie
2025-07-14 11:05:51 | DEBUG | src.api.request_handler | 发起请求: GET https://service.vidu.cn/iam/v1/users/me
2025-07-14 11:05:53 | DEBUG | src.api.request_handler | 响应状态: 200
2025-07-14 11:05:53 | DEBUG | src.api.request_handler | 已设置认证cookie
2025-07-14 11:05:53 | INFO | main | Token自动登录成功，JWT认证信息已同步
2025-07-14 11:05:53 | INFO | main | 自动登录用户: vidu_csGjxxVKbL3T7Jrk
2025-07-14 11:05:53 | INFO | main | 提交任务 - 图片: ./data/input_images/1521752302428_.pic.jpg, 提示词: 让画面更有质感
2025-07-14 11:05:53 | INFO | src.tasks.task_manager | 创建视频生成任务 - 图片: ./data/input_images/1521752302428_.pic.jpg, 提示词: 让画面更有质感
2025-07-14 11:05:53 | INFO | src.utils.file_manager | 图片处理完成: data/cache/processed_1752462353_1521752302428_.pic.jpg
2025-07-14 11:05:53 | INFO | src.utils.file_manager | 开始上传图片: processed_1752462353_1521752302428_.pic.jpg, 尺寸: 720x1122
2025-07-14 11:05:53 | INFO | src.utils.file_manager | 正在上传图片元数据...
2025-07-14 11:05:53 | DEBUG | src.api.request_handler | 发起请求: POST https://service.vidu.cn/tools/v1/files/uploads
2025-07-14 11:05:55 | DEBUG | src.api.request_handler | 响应状态: 200
2025-07-14 11:05:55 | INFO | src.utils.file_manager | 元数据上传成功，获得上传ID: 2861065111519968
2025-07-14 11:05:55 | INFO | src.utils.file_manager | 正在上传图片二进制数据: processed_1752462353_1521752302428_.pic.jpg
2025-07-14 11:05:56 | INFO | src.utils.file_manager | 图片二进制数据上传成功
2025-07-14 11:05:56 | INFO | src.utils.file_manager | 正在完成上传确认，上传ID: 2861065111519968
2025-07-14 11:05:56 | DEBUG | src.api.request_handler | 发起请求: PUT https://service.vidu.cn/tools/v1/files/uploads/2861065111519968/finish
2025-07-14 11:05:57 | DEBUG | src.api.request_handler | 响应状态: 200
2025-07-14 11:05:57 | INFO | src.utils.file_manager | 图片上传完成，文件URI: ssupload:?id=2861065111519968
2025-07-14 11:05:57 | INFO | src.utils.file_manager | 图片上传成功: ssupload:?id=2861065111519968
2025-07-14 11:05:57 | INFO | src.utils.file_manager | ============================================================
2025-07-14 11:05:57 | INFO | src.utils.file_manager | 📷 测试URL | 图片上传成功
2025-07-14 11:05:57 | INFO | src.utils.file_manager | 🔗 图片URL: https://put.vidu.cn/tmp/vidu/2857485261099210/25/0714/030556-iakILGWIsezTheM0?Expires=1752465956&Signature=Q~vJcp7hWC5mLd0VuFtUdNOSxciiFDVekp7MmTRhchYkCwogiqBL0om8NNnbBwGoMPmI0G3H3Z2jpeQIFhDvC7ph86Bc7WIzSbGrGaqvEQg0P5QZGfuDsVrTUdzU3y~~9SuS7oZWlltQpSpqWWIYQjLCB-5dbsLmeh9bxNoVPdm~VwOZ5sNBOsIqnyXaaSEyHAK50LboiXB7muhcvHysTUehHlOj746X2kHr6H39XUISrnDjV6UpYHA66XjDhfZCNEtuGcgbKSW9spWBZnjWnlNdU4tufBN0St3dAiJ-3qnWirj5f8sTgBr1Pi-yOC7bfkajhTWE81Icbw5JSAeCqA__&Key-Pair-Id=K3DNVHKWMZJUTO
2025-07-14 11:05:57 | INFO | src.utils.file_manager | 🆔 上传ID: 2861065111519968
2025-07-14 11:05:57 | INFO | src.utils.file_manager | 🔗 ssupload格式: ssupload:?id=2861065111519968
2025-07-14 11:05:57 | INFO | src.utils.file_manager | ============================================================
2025-07-14 11:05:57 | INFO | src.tasks.task_manager | ============================================================
2025-07-14 11:05:57 | INFO | src.tasks.task_manager | ✅ 任务管理器 | 图片上传成功
2025-07-14 11:05:57 | INFO | src.tasks.task_manager | 🔗 图片URL: https://put.vidu.cn/tmp/vidu/2857485261099210/25/0714/030556-iakILGWIsezTheM0?Expires=1752465956&Signature=Q~vJcp7hWC5mLd0VuFtUdNOSxciiFDVekp7MmTRhchYkCwogiqBL0om8NNnbBwGoMPmI0G3H3Z2jpeQIFhDvC7ph86Bc7WIzSbGrGaqvEQg0P5QZGfuDsVrTUdzU3y~~9SuS7oZWlltQpSpqWWIYQjLCB-5dbsLmeh9bxNoVPdm~VwOZ5sNBOsIqnyXaaSEyHAK50LboiXB7muhcvHysTUehHlOj746X2kHr6H39XUISrnDjV6UpYHA66XjDhfZCNEtuGcgbKSW9spWBZnjWnlNdU4tufBN0St3dAiJ-3qnWirj5f8sTgBr1Pi-yOC7bfkajhTWE81Icbw5JSAeCqA__&Key-Pair-Id=K3DNVHKWMZJUTO
2025-07-14 11:05:57 | INFO | src.tasks.task_manager | 📁 本地路径: ./data/input_images/1521752302428_.pic.jpg
2025-07-14 11:05:57 | INFO | src.tasks.task_manager | ============================================================
2025-07-14 11:05:57 | WARNING | src.tasks.task_manager | 当前非错峰时段，任务将排队等待
2025-07-14 11:05:57 | INFO | src.tasks.task_manager | 提交任务到vidu平台: [@图1]让画面更有质感
2025-07-14 11:05:57 | DEBUG | src.api.request_handler | 发起请求: POST https://service.vidu.cn/vidu/v1/tasks
2025-07-14 11:06:00 | DEBUG | src.api.request_handler | 响应状态: 200
2025-07-14 11:06:00 | INFO | src.tasks.task_manager | 任务创建成功 - Task ID: 2861065174874013
2025-07-14 11:06:00 | INFO | src.tasks.task_manager | 任务ID记录已保存到文件: 2861065174874013
2025-07-14 11:06:00 | INFO | src.tasks.task_manager | 任务创建成功 - Task ID: 2861065174874013
